alias,make,model_regex
ABARTH,ABARTH,
ALFA ROMEO,ALFA ROMEO,
ALFA,ALFA ROMEO,
ALFA-ROMEO,ALFA ROMEO,
ALPINE,ALPINE,
ASTON MARTIN (UK),ASTON MARTIN,
ASTON MARTIN,ASTON MARTIN,
ASTON-MARTIN,ASTON MARTIN,
AUDI (D),AUDI,
AUDI (H),AUDI,
AUDI,AUDI,
BMW I,BMW,
BMW MINI,MINI,
BMW,BMW,
BMW,MINI,^(MINI\b|COOPER|ONE\b|CLUBMAN|COUNTRYMAN|PACEMAN|CLUBVAN|JOHN ?COOPER ?WORKS|JCW\b)
CATERHAM,CATERHAM,
CITROEN (F),CITROEN,
CITROEN,CITROEN,
CITROËN,CITROEN,
DAIMLER (D),MERCEDES-BENZ,
DAIMLER (D),SMART,^(EQ )?(SMART\b|FORTWO|FORFOUR|CITY-?(COUPE|CABRIO)|CROSSBLADE|ROADSTER)
DAIMLER,MERCEDES-BENZ,
FERRARI (I),FERRARI,
FERRARI,FERRARI,
FIAT,FIAT,
FORD (D),FORD,
FORD (IND),FORD,
FORD (USA),FORD,
FORD,FORD,
HONDA (RC),HONDA,
HONDA (UK),HONDA,
HONDA,HONDA,
JAGUAR,JAGUAR,
LANCIA,LANCIA,
LEXUS,LEXUS,
LOTUS (UK),LOTUS,
LOTUS,LOTUS,
MASERATI (I),MASERATI,
MASERATI,MASERATI,
MAZDA (B/J/USA/RC),MAZDA,
MAZDA,MAZDA,
MERCEDES BENZ,MERCEDES-BENZ,
MERCEDES,MERCEDES-BENZ,
MERCEDES-BENZ (E),MERCEDES-BENZ,
MERCEDES-BENZ (E),SMART,^(EQ )?(SMART\b|FORTWO|FORFOUR)
MERCEDES-BENZ,MERCEDES-BENZ,
MG ROVER,MG,
MG,MG,
MINI,MINI,
MITSUBISHI (J),MITSUBISHI,
MITSUBISHI (NL),MITSUBISHI,
MITSUBISHI (THA),MITSUBISHI,
MITSUBISHI,MITSUBISHI,
NISSAN (CH),NISSAN,
NISSAN (F/NL),NISSAN,
NISSAN (J),NISSAN,
NISSAN,NISSAN,
OPEL,OPEL,
PEUGEOT (F),PEUGEOT,
PEUGEOT,PEUGEOT,
PORSCHE,PORSCHE,
RENAULT (F),RENAULT,
RENAULT,RENAULT,
SAAB,SAAB,
SEAT (E),SEAT,
SEAT,SEAT,
SKODA (CZ),SKODA,
SKODA,SKODA,
SMART (D),SMART,
SMART (RC),SMART,
SMART,SMART,
SUBARU (J),SUBARU,
SUBARU,SUBARU,
SUZUKI (J),SUZUKI,
SUZUKI (THA),SUZUKI,
SUZUKI,SUZUKI,
TOYOTA (J),TOYOTA,
TOYOTA,TOYOTA,
TVR,TVR,
VAUXHALL,OPEL,
VOLKSWAGEN (D),VOLKSWAGEN,
VOLKSWAGEN VW,VOLKSWAGEN,
VOLKSWAGEN,VOLKSWAGEN,
VOLVO (S),VOLVO,
VOLVO,VOLVO,
VW,VOLKSWAGEN,
ŠKODA,SKODA,
