make,model_raw_regex,year_from,year_to,model_gen,generation
ALFA ROMEO,^155\b,,,155,167
ALFA ROMEO,^156\b,,,156,932
ALFA ROMEO,^147.*GTA,,,147 GTA,937
ALFA ROMEO,^147(?!.*GTA),,,147,
ALFA ROMEO,^GTV,1974,1986,GTV,116
ALFA ROMEO,^GTV,1995,2005,GTV,916
ALFA ROMEO,^SPIDER,1966,1994,SPIDER,105_115
ALFA ROMEO,^SPIDER,1995,2005,SPIDER,916
ALFA ROMEO,^SPIDER,2006,2010,SPIDER,939
ALFA ROMEO,^GT\b(?![VA]),,,GT,937
ALFA ROMEO,^BRERA,,,BRERA,939
ALFA ROMEO,^8C,,,8C,8C
ALFA ROMEO,^4C,,,4C,960
ALFA ROMEO,^(145|146|159|164|166|33|75|90)\b,,,OTHER SALOON,
ALFA ROMEO,^GIULIETTA,,,GIULIETTA,
ALFA ROMEO,^MITO,,,MITO,
ALFA ROMEO,^GIULIA,,,GIULIA,
ALFA ROMEO,^STELVIO,,,STELVIO,
ALFA ROMEO,^TONALE,,,TONALE,
ALPINE,^A ?610,,,A610,A610
ALPINE,^A ?110,,,A110,
ALPINE,^(A ?)?GTA|^V6,,,GTA,
ASTON MARTIN,^DB ?7,,,DB7,DB7
ASTON MARTIN,^DB ?9,,,DB9,DB9
ASTON MARTIN,^V8 ?VANTAGE|^VANTAGE(?!.*V12),1977,1989,V8 VANTAGE,OSCAR_INDIA
ASTON MARTIN,^V8 ?VANTAGE|^VANTAGE(?!.*V12),2005,2017,V8 VANTAGE,VH
ASTON MARTIN,^V8 ?VANTAGE|^VANTAGE(?!.*V12),2018,2025,V8 VANTAGE,AM6
ASTON MARTIN,^V12 ?VANTAGE,,,V12 VANTAGE,
ASTON MARTIN,^VANQUISH,2001,2007,VANQUISH,I
ASTON MARTIN,^VANQUISH,2012,2018,VANQUISH,II
ASTON MARTIN,^(DB11|DB12|DBS|RAPIDE|DBX|CYGNET|VIRAGE|DB5|DB6|LAGONDA|ONE-77|VALKYRIE)\b,,,OTHER,
AUDI,^RS ?2\b,,,RS2,B4
AUDI,^S ?2\b,,,S2,B3_B4
AUDI,^RS ?4\b,2000,2001,RS4,B5
AUDI,^RS ?4\b,2006,2008,RS4,B7
AUDI,^RS ?4\b,2012,2015,RS4,B8
AUDI,^RS ?4\b,2017,2025,RS4,B9
AUDI,^RS ?6\b,2002,2004,RS6,C5
AUDI,^RS ?6\b,2008,2010,RS6,C6
AUDI,^RS ?6\b,2013,2018,RS6,C7
AUDI,^RS ?6\b,2019,2025,RS6,C8
AUDI,^S ?4\b,1997,2001,S4,B5
AUDI,^S ?4\b,2003,2004,S4,B6
AUDI,^S ?4\b,2005,2008,S4,B7
AUDI,^S ?4\b,2009,2016,S4,B8
AUDI,^S ?4\b,2017,2025,S4,B9
AUDI,^S ?3\b,1999,2003,S3,8L
AUDI,^S ?3\b,2006,2012,S3,8P
AUDI,^S ?3\b,2013,2020,S3,8V
AUDI,^S ?8\b,1996,2003,S8,D2
AUDI,^S ?8\b,2006,2010,S8,D3
AUDI,^S ?8\b,2012,2017,S8,D4
AUDI,^TT\b,1998,2006,TT,8N
AUDI,^TT\b,2007,2014,TT,8J
AUDI,^TT\b,2015,2023,TT,8S
AUDI,^R8\b,2006,2015,R8,42
AUDI,^R8\b,2016,2024,R8,4S
AUDI,^RS ?3\b,,,RS3,
AUDI,^RS ?5\b,,,RS5,
AUDI,^RS ?7\b,,,RS7,
AUDI,^RS ?Q,,,RSQ,
AUDI,^S ?1\b,,,S1,
AUDI,^S ?5\b,,,S5,
AUDI,^S ?6\b,,,S6,
AUDI,^S ?7\b,,,S7,
AUDI,^SQ,,,SQ,
AUDI,^A ?1\b,,,A1,
AUDI,^A ?2\b,,,A2,
AUDI,^A ?3\b,,,A3,
AUDI,^A ?4\b,,,A4,
AUDI,^A ?5\b,,,A5,
AUDI,^A ?6\b,,,A6,
AUDI,^A ?7\b,,,A7,
AUDI,^A ?8\b,,,A8,
AUDI,^Q ?[2-8]\b,,,Q,
AUDI,^(80|90|100|200)\b,,,LEGACY NUMERIC,
AUDI,^COUPE,,,COUPE,
AUDI,^CABRIOLET,,,CABRIOLET,
AUDI,^ALLROAD,,,ALLROAD,
AUDI,^E-?TRON,,,E-TRON,
BMW,^M3 CSL,,,M3,E46
BMW,^M3\b,1992,1999,M3,E36
BMW,^M3\b,2000,2006,M3,E46
BMW,^M3\b,2007,2013,M3,E9X
BMW,^M3\b,2014,2018,M3,F80
BMW,^M3\b,2020,2025,M3,G80
BMW,^M5\b,1988,1995,M5,E34
BMW,^M5\b,1998,2003,M5,E39
BMW,^M5\b,2005,2010,M5,E60
BMW,^M5\b,2011,2016,M5,F10
BMW,^M5\b,2017,2025,M5,F90
BMW,^Z3 ?M\b|^M (ROADSTER|COUPE)\b,,,Z3 M,E36_7
BMW,^Z3(?! ?M\b),,,Z3,E36_7
BMW,^Z4 ?M\b,,,Z4 M,E85_86
BMW,^Z4(?! ?M\b),2003,2008,Z4,E85
BMW,^Z4(?! ?M\b),2009,2016,Z4,E89
BMW,^Z4(?! ?M\b),2018,2025,Z4,G29
BMW,^Z8\b,,,Z8,E52
BMW,^Z1\b,,,Z1,
BMW,^1M\b|^1 SERIES M\b,,,1M,E82
BMW,^135I,,,135I,E82
BMW,^8[0-9][0-9][A-Z]*\b|^8 SERIES,1990,1999,8 SERIES,E31
