make,model_gen,generation,segment,year_from,year_to
ALFA ROMEO,155,167,PREMIUM,1992,1998
ALFA ROMEO,156,932,PREMIUM,1997,2007
ALFA ROMEO,147 GTA,937,GTI,2002,2005
ALFA ROMEO,GTV,916,COUPE,1995,2005
ALFA ROMEO,SPIDER,916,ROADSTER,1995,2006
ALFA ROMEO,GT,937,COUPE,2003,2010
ALFA ROMEO,BRERA,939,COUPE,2005,2010
ALFA ROMEO,8C,8C,SUPERCAR,2007,2010
ALFA ROMEO,4C,960,SPORTIVE,2013,2020
ALPINE,A610,A610,SPORTIVE,1991,1995
ASTON MARTIN,DB7,DB7,COUPE,1994,2004
ASTON MARTIN,DB9,DB9,COUPE,2004,2016
ASTON MARTIN,V8 VANTAGE,VH,SPORTIVE,2005,2017
ASTON MARTIN,VANQUISH,I,SUPERCAR,2001,2007
AUDI,RS2,B4,SPORTIVE,1994,1996
AUDI,S2,B3_B4,COUPE,1990,1995
AUDI,RS4,B5,SPORTIVE,2000,2001
AUDI,RS4,B7,SPORTIVE,2006,2008
AUDI,RS6,C5,SPORTIVE,2002,2004
AUDI,RS6,C6,SPORTIVE,2008,2010
AUDI,S4,B5,SPORTIVE,1997,2001
AUDI,S3,8L,GTI,1999,2003
AUDI,S8,D2,PREMIUM,1996,2003
AUDI,TT,8N,COUPE,1998,2006
AUDI,TT,8J,COUPE,2006,2014
AUDI,R8,42,SUPERCAR,2006,2015
BMW,M3,E36,SPORTIVE,1992,1999
BMW,M3,E46,SPORTIVE,2000,2006
BMW,M3,E9X,SPORTIVE,2007,2013
BMW,M5,E34,SPORTIVE,1988,1995
BMW,M5,E39,SPORTIVE,1998,2003
BMW,M5,E60,SPORTIVE,2005,2010
BMW,Z3,E36_7,ROADSTER,1996,2002
BMW,Z3 M,E36_7,ROADSTER,1997,2002
BMW,Z4,E85,ROADSTER,2003,2008
BMW,Z4 M,E85_86,ROADSTER,2006,2008
BMW,Z4,E89,ROADSTER,2009,2016
BMW,Z8,E52,ROADSTER,2000,2003
BMW,1M,E82,SPORTIVE,2011,2012
BMW,8 SERIES,E31,COUPE,1990,1999
BMW,6 SERIES,E63,COUPE,2003,2010
BMW,135I,E82,SPORTIVE,2007,2013
CATERHAM,SEVEN,SEVEN,SPORTIVE,1990,2015
CITROEN,SAXO VTS,S0,GTI,1996,2003
CITROEN,XSARA VTS,N0,GTI,1997,2006
CITROEN,C2 VTS,A6,GTI,2003,2009
CITROEN,DS3 RACING,A55,GTI,2011,2014
FERRARI,348,348,SUPERCAR,1989,1995
FERRARI,F355,F355,SUPERCAR,1994,1999
FERRARI,360,360,SUPERCAR,1999,2005
