country,make_raw,make,model_gen_raw,model_raw,model_gen,generation,count,source_file
GB,ABARTH,ABARTH,ABARTH 500,500,500,312,309608,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,ABARTH,ABARTH,ABARTH 595,595,500,312,280809,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,ABARTH,ABARTH,ABARTH 595,595 TURISMO,500,312,171419,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,ABARTH,ABARTH,ABARTH 595,595 COMPETIZIONE,500,312,153250,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,ABARTH,ABARTH,ABARTH 595,595 TROFEO,500,312,48760,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,ABARTH,ABARTH,ABARTH SPIDER,124 SPIDER MULTIAIR,OTHER,,43366,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,ABARTH,ABARTH,ABARTH 595,595C TURISMO,,,37963,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,ABARTH,ABARTH,ABARTH 500,500 C S-A,500,312,31709,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,ABARTH,ABARTH,ABARTH 595,595C,,,31641,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,ABARTH,ABARTH,ABARTH SPIDER,124 SPIDER MULTIAIR AUTO,OTHER,,26780,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,ABARTH,ABARTH,ABARTH PUNTO,GRANDE PUNTO 155 BHP,OTHER,,25688,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,ABARTH,ABARTH,ABARTH 595,595 TURISMO S-A,500,312,23531,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,ABARTH,ABARTH,ABARTH PUNTO,PUNTO EVO,OTHER,,21135,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,ABARTH,ABARTH,ABARTH 500,500 CUSTOM,500,312,19822,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,ABARTH,ABARTH,ABARTH 595,595C COMPETIZIONE,,,17650,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,ABARTH,ABARTH,ABARTH 595,595 COMPETIZIONE S-A,500,312,15402,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,ABARTH,ABARTH,ABARTH 595,595C TURISMO S-A,,,12783,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,ABARTH,ABARTH,ABARTH 595,595 S-A,500,312,11645,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,ABARTH,ABARTH,ABARTH 595,595C COMPETIZIONE S-A,,,10985,df_VEH0120_GB.csv|df_VEH0124_AM.csv
