anomaly,country,series,make,model_gen,generation,prev_year,year,prev_stock,stock,change
cohort_rise,GB,VEH0124,LANCIA,THEMA 8.32,Y9,2020,2021,2,5,1.5
cohort_rise,GB,VEH0124,PEUGEOT,306 S16,MK1,2023,2024,6,10,0.6666666666666667
cohort_rise,GB,VEH0124,PORSCHE,CARRERA GT,980,2024,2025,19,31,0.631578947368421
cohort_rise,GB,VEH0124,PEUGEOT,309 GTI,MK1,2022,2023,52,82,0.5769230769230769
cohort_rise,GB,VEH0124,NISSAN,SUNNY GTI-R,N14,2024,2025,11,16,0.4545454545454546
cohort_rise,GB,VEH0124,LANCIA,THEMA 8.32,Y9,2018,2019,3,4,0.33333333333333326
cohort_rise,GB,VEH0124,OPEL,LOTUS CARLTON,A,2024,2025,39,51,0.3076923076923077
cohort_rise,GB,VEH0124,ABARTH,500,312,2016,2017,11220,14338,0.2778966131907308
cohort_rise,GB,VEH0124,MASERATI,GHIBLI,II,2020,2021,18,23,0.2777777777777777
cohort_rise,GB,VEH0124,NISSAN,SKYLINE GT-R,R34,2014,2015,77,97,0.2597402597402598
cohort_rise,GB,VEH0124,LANCIA,THEMA 8.32,Y9,2015,2016,4,5,0.25
cohort_rise,GB,VEH0124,NISSAN,SUNNY GTI-R,N14,2020,2021,17,21,0.23529411764705888
cohort_rise,GB,VEH0124,MERCEDES-BENZ,SLR MCLAREN,C199,2018,2019,17,21,0.23529411764705888
cohort_rise,GB,VEH0124,ABARTH,500,312,2017,2018,14338,17694,0.23406332821871945
cohort_rise,GB,VEH0124,LANCIA,THEMA 8.32,Y9,2023,2024,5,6,0.19999999999999996
cohort_rise,GB,VEH0124,MITSUBISHI,ECLIPSE,1G_2G,2017,2018,20,24,0.19999999999999996
cohort_rise,GB,VEH0124,FERRARI,CALIFORNIA,F149,2015,2016,1130,1350,0.19469026548672574
cohort_rise,GB,VEH0124,NISSAN,SKYLINE GT-R,R32,2014,2015,212,251,0.1839622641509433
cohort_rise,GB,VEH0124,HONDA,CIVIC TYPE R,EK9,2024,2025,30,35,0.16666666666666674
cohort_rise,GB,VEH0124,TOYOTA,GT86,ZN6,2022,2023,6760,7873,0.16464497041420123
cohort_rise,GB,VEH0124,NISSAN,SUNNY GTI-R,N14,2016,2017,19,22,0.1578947368421053
cohort_rise,GB,VEH0124,RENAULT,SPIDER,SPIDER,2016,2017,21,24,0.1428571428571428
cohort_rise,GB,VEH0124,PEUGEOT,306 S16,MK1,2019,2020,7,8,0.1428571428571428
cohort_rise,GB,VEH0124,MERCEDES-BENZ,C43 AMG,W202,2024,2025,127,145,0.1417322834645669
cohort_rise,GB,VEH0124,TOYOTA,CELICA GT-FOUR,ST185_ST205,2020,2021,29,33,0.13793103448275867
cohort_rise,GB,VEH0124,OPEL,LOTUS CARLTON,A,2020,2021,44,50,0.13636363636363646
cohort_rise,GB,VEH0124,PEUGEOT,306 S16,MK1,2015,2016,15,17,0.1333333333333333
cohort_rise,GB,VEH0124,PORSCHE,CARRERA GT,980,2014,2015,38,43,0.13157894736842102
cohort_rise,GB,VEH0124,RENAULT,SPIDER,SPIDER,2020,2021,23,26,0.13043478260869557
cohort_rise,GB,VEH0124,AUDI,RS2,B4,2020,2021,39,44,0.1282051282051282
cohort_rise,GB,VEH0124,MASERATI,GHIBLI,II,2023,2024,16,18,0.125
cohort_rise,GB,VEH0124,TVR,SAGARIS,SAGARIS,2020,2021,80,90,0.125
cohort_rise,GB,VEH0124,FERRARI,612,612,2016,2017,180,202,0.12222222222222223
cohort_rise,GB,VEH0124,PEUGEOT,106 RALLYE,S1,2021,2022,82,92,0.12195121951219523
cohort_rise,GB,VEH0124,PORSCHE,CARRERA GT,980,2016,2017,33,37,0.1212121212121211
cohort_rise,GB,VEH0124,ABARTH,500,312,2018,2019,17694,19776,0.11766700576466604
cohort_rise,GB,VEH0124,ALFA ROMEO,8C,8C,2014,2015,35,39,0.11428571428571432
cohort_rise,GB,VEH0124,HONDA,NSX,NA1_NA2,2015,2016,229,254,0.10917030567685582
cohort_rise,GB,VEH0124,NISSAN,SKYLINE GT-R,R34,2024,2025,93,103,0.10752688172043001
cohort_rise,GB,VEH0124,RENAULT,19 16V,MK1,2023,2024,19,21,0.10526315789473695
cohort_rise,GB,VEH0124,ALFA ROMEO,147 GTA,937,2024,2025,135,149,0.10370370370370363
