make,model_gen,generation,segment,country,level,series,latest_year,stock,rarity_tier,cumulative_sales,survival,history_years,attrition,relative_attrition,n_peers,inflection_year,sorn_ratio
ABARTH,500,312,GTI,GB,generation,VEH0124,2025,23363,>=500,9033,0.9891612684702993,9,0.0008492852403403622,-0.04776114867731635,28,2017,0.05171084141738036
ABARTH,500,312,GTI,NL,generation,RDW,2026,198,<500,,1.0,0,,,0,,
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2025,149,<500,373,0.39946380697050937,9,0.025759427177499083,-0.10838640359210976,27,2017,0.5146579804560261
ALFA ROMEO,147 GTA,937,GTI,NL,generation,RDW,2026,4,<20,,1.0,0,,,0,,
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2025,40,<100,,0.2597402597402597,9,0.04658124397351221,-0.02785088581417282,4,2023,0.8927613941018767
ALFA ROMEO,155,167,PREMIUM,NL,generation,RDW,2026,383,<500,,1.0,0,,,0,,
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2025,699,>=500,26558,0.0263197529934483,9,0.19156887323766658,0.044760361377934016,8,,0.803486083778465
ALFA ROMEO,156,932,PREMIUM,NL,generation,RDW,2026,1624,>=500,,1.0,0,,,0,,
ALFA ROMEO,4C,960,SPORTIVE,GB,generation,VEH0124,2025,336,<500,541,0.6210720887245841,9,0.020148468576834524,-0.006698368599159826,17,2025,0.3128834355828221
ALFA ROMEO,4C,960,SPORTIVE,NL,generation,RDW,2026,144,<500,,1.0,0,,,0,,
ALFA ROMEO,8C,8C,SUPERCAR,GB,generation,VEH0124,2025,13,<20,53,0.24528301886792453,9,0.06919298801251024,0.023703393070730994,9,,0.7045454545454546
ALFA ROMEO,8C,8C,SUPERCAR,NL,generation,RDW,2026,27,<100,,1.0,0,,,0,,
ALFA ROMEO,BRERA,939,COUPE,GB,generation,VEH0124,2025,1314,>=500,3034,0.43309162821357944,9,0.10578641516820096,0.01861706149445827,25,,0.38018867924528305
ALFA ROMEO,BRERA,939,COUPE,NL,generation,RDW,2026,535,>=500,,1.0,0,,,0,,
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2025,1185,>=500,7136,0.16605941704035873,9,0.20370027574731972,0.11653092207357703,25,,0.5173116089613035
ALFA ROMEO,GT,937,COUPE,NL,generation,RDW,2026,1982,>=500,,1.0,0,,,0,,
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2025,698,>=500,1690,0.3232978230662344,9,0.07071825483131679,-0.0288904004951029,23,2020,0.6865738661876964
ALFA ROMEO,GTV,916,COUPE,NL,generation,RDW,2026,275,<500,,1.0,0,,,0,,
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2025,747,>=500,1245,0.3969181721572795,9,0.08530000072225959,0.028264568340881292,14,,0.6850758853288365
ALFA ROMEO,SPIDER,916,ROADSTER,NL,generation,RDW,2026,717,>=500,,1.0,0,,,0,,
ALPINE,A610,A610,SPORTIVE,NL,generation,RDW,2026,1,<20,,1.0,0,,,0,,
ASTON MARTIN,DB7,DB7,COUPE,GB,generation,VEH0124,2025,1214,>=500,1274,0.5927734375,9,0.06102388027642377,-0.03858477504999592,23,2017,0.5209155485398579
ASTON MARTIN,DB7,DB7,COUPE,NL,generation,RDW,2026,143,<500,,1.0,0,,,0,,
ASTON MARTIN,DB9,DB9,COUPE,GB,generation,VEH0124,2025,3124,>=500,5308,0.5885455915599096,9,0.0486399740429204,-0.03852937963082229,25,2025,0.3569370111156855
ASTON MARTIN,DB9,DB9,COUPE,NL,generation,RDW,2026,341,<500,,1.0,0,,,0,,
ASTON MARTIN,V8 VANTAGE,VH,SPORTIVE,GB,generation,VEH0124,2025,3756,>=500,6563,0.5722992533902179,9,0.0381875559008961,-0.007312900744627773,31,2025,0.3637133660850415
ASTON MARTIN,V8 VANTAGE,VH,SPORTIVE,NL,generation,RDW,2026,404,<500,,1.0,0,,,0,,
ASTON MARTIN,VANQUISH,I,SUPERCAR,GB,generation,VEH0124,2025,111,<500,275,0.4036363636363636,9,0.036949908165542854,-0.008849726751377907,6,2025,0.5919117647058824
ASTON MARTIN,VANQUISH,I,SUPERCAR,NL,generation,RDW,2026,10,<20,,1.0,0,,,0,,
AUDI,R8,42,SUPERCAR,GB,generation,VEH0124,2025,1820,>=500,3685,0.49389416553595655,9,0.05116151376467267,0.005671918822893425,9,,0.35300391041592605
AUDI,R8,42,SUPERCAR,NL,generation,RDW,2026,99,<100,,1.0,0,,,0,,
AUDI,RS2,B4,SPORTIVE,GB,generation,VEH0124,2025,32,<100,,0.47058823529411764,9,0.020107978499862286,-0.03694358164652084,14,2025,0.744
AUDI,RS2,B4,SPORTIVE,NL,generation,RDW,2026,2,<20,,1.0,0,,,0,,
AUDI,RS4,B5,SPORTIVE,GB,generation,VEH0124,2025,130,<500,324,0.37681159420289856,9,0.10666677412765786,0.0438109117647163,30,,0.6467391304347826
AUDI,RS4,B5,SPORTIVE,NL,generation,RDW,2026,6,<20,,1.0,0,,,0,,
AUDI,RS4,B7,SPORTIVE,GB,generation,VEH0124,2025,1525,>=500,3270,0.46636085626911317,9,0.06689022779399638,0.0022618518223577883,34,,0.404296875
AUDI,RS4,B7,SPORTIVE,NL,generation,RDW,2026,10,<20,,1.0,0,,,0,,
