make,model_gen,generation,segment,country,level,series,year,stock,attrition,age_bucket
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2014,149,,3
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2015,154,,4
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2016,123,,4
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2017,107,0.11024324091597885,4
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2018,94,0.1644604668046468,4
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2019,77,0.15623324700248145,4
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2020,67,0.1560255021181884,5
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2021,55,0.1786494480207436,5
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2022,46,0.17171217582572748,5
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2023,49,0.10436220579693507,5
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2024,47,0.05239310235619211,5
ALFA ROMEO,155,167,PREMIUM,GB,generation,VEH0124,2025,40,0.04658124397351221,6
ALFA ROMEO,155,167,PREMIUM,NL,generation,RDW,2026,383,,6
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2014,11484,,2
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2015,8819,,2
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2016,6574,,2
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2017,4764,0.2932221718886235,3
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2018,3407,0.31697484152542255,3
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2019,2503,0.3220979516300642,3
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2020,1917,0.3034068109453423,3
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2021,1515,0.2700808379893367,3
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2022,1242,0.23350591355821057,4
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2023,1020,0.2104636667847183,4
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2024,845,0.1945731196411555,4
ALFA ROMEO,156,932,PREMIUM,GB,generation,VEH0124,2025,699,0.19156887323766658,4
ALFA ROMEO,156,932,PREMIUM,NL,generation,RDW,2026,1622,,4
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2014,254,,2
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2015,253,,2
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2016,238,,2
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2017,226,0.03890405385637934,2
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2018,214,0.05578701159763753,3
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2019,193,0.06990801101460893,3
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2020,168,0.0987982859111234,3
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2021,176,0.06508220855211343,3
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2022,161,0.060343566440595575,3
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2023,147,0.04454095082749491,4
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2024,135,0.08838601192549195,4
ALFA ROMEO,147 GTA,937,GTI,GB,generation,VEH0124,2025,149,0.025759427177499083,4
ALFA ROMEO,147 GTA,937,GTI,NL,generation,RDW,2026,4,,4
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2014,2159,,2
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2015,1894,,3
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2016,1683,,3
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2017,1449,0.13290722832725851,3
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2018,1290,0.1279962963762585,3
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2019,1157,0.1250013811147958,3
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2020,1038,0.1111698702286738,4
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2021,977,0.09260148309970696,4
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2022,863,0.09769169742730403,4
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2023,790,0.09106837232530222,4
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2024,738,0.09351627226422839,4
ALFA ROMEO,GTV,916,COUPE,GB,generation,VEH0124,2025,698,0.07071825483131679,5
ALFA ROMEO,GTV,916,COUPE,NL,generation,RDW,2026,274,,5
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2014,1882,,2
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2015,1807,,3
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2016,1633,,3
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2017,1499,0.07580528085054633,3
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2018,1374,0.09128420752084081,3
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2019,1257,0.08729004157066166,3
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2020,1110,0.10010131586718546,4
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2021,1056,0.0876927575785393,4
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2022,965,0.08806537886897049,4
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2023,885,0.07556093507420918,4
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2024,782,0.10008538994121298,4
ALFA ROMEO,SPIDER,916,ROADSTER,GB,generation,VEH0124,2025,747,0.08530000072225959,5
ALFA ROMEO,SPIDER,916,ROADSTER,NL,generation,RDW,2026,717,,5
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2014,6451,,1
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2015,6062,,1
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2016,5648,,2
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2017,5060,0.08094720543116307,2
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2018,4389,0.10765538407607243,2
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2019,3684,0.1425316848873755,2
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2020,3136,0.15943524438170198,2
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2021,2574,0.177855159033142,3
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2022,2184,0.17425294644574663,3
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2023,1828,0.18003176818162428,3
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2024,1398,0.20336777551890065,3
ALFA ROMEO,GT,937,COUPE,GB,generation,VEH0124,2025,1185,0.20370027574731972,3
ALFA ROMEO,GT,937,COUPE,NL,generation,RDW,2026,1978,,4
ALFA ROMEO,BRERA,939,COUPE,GB,generation,VEH0124,2014,2847,,1
