BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,LicenceStatus,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Cars,ABARTH,ABARTH 124,124 GT MULTIAIR,2019,2019,Licensed,4,4,5,5,5,6,6,[z],[z],[z],[z],[z]
Cars,ABARTH,ABARTH 124,124 GT MULTIAIR,2018,2018,Licensed,12,10,11,12,11,12,12,12,[z],[z],[z],[z]
Cars,ABARTH,ABARTH 124,124 GT MULTIAIR,2019,2019,SORN,3,3,3,3,3,2,2,[z],[z],[z],[z],[z]
Cars,ABARTH,ABARTH 124,124 GT MULTIAIR,2018,2018,SORN,0,2,1,0,0,0,0,0,[z],[z],[z],[z]
Cars,ABARTH,ABARTH 124,124 GT MULTIAIR AUTO,2018,2018,SORN,2,2,1,1,1,1,0,1,[z],[z],[z],[z]
Cars,ABARTH,ABARTH 124,124 GT MULTIAIR AUTO,2019,2019,Licensed,12,12,12,12,12,13,11,[z],[z],[z],[z],[z]
Cars,ABARTH,ABARTH 124,124 GT MULTIAIR AUTO,2018,2018,Licensed,13,13,14,13,14,13,15,10,[z],[z],[z],[z]
Cars,ABARTH,ABARTH 124,124 GT MULTIAIR AUTO,2019,2019,SORN,2,2,2,2,2,1,1,[z],[z],[z],[z],[z]
Cars,ABARTH,ABARTH 500,500,[x],2012,Licensed,3,4,4,3,4,3,4,5,5,5,5,4
Cars,ABARTH,ABARTH 500,500,2011,2011,SORN,76,65,44,39,34,42,30,27,16,11,9,10
Cars,ABARTH,ABARTH 500,500,[x],2011,Licensed,6,6,6,6,6,6,6,5,4,4,4,4
Cars,ABARTH,ABARTH 500,500,2009,2009,Licensed,622,660,691,734,745,755,793,807,846,876,893,892
Cars,ABARTH,ABARTH 500,500,[x],2008,Licensed,1,1,1,1,0,0,0,1,0,1,1,1
Cars,ABARTH,ABARTH 500,500,[x],2017,SORN,1,1,0,1,1,0,0,0,0,[z],[z],[z]
Cars,ABARTH,ABARTH 500,500,[x],2017,Licensed,0,0,1,1,1,2,1,0,0,[z],[z],[z]
Cars,ABARTH,ABARTH 500,500,2010,2010,Licensed,713,751,779,793,827,822,844,887,912,946,944,960
Cars,ABARTH,ABARTH 500,500,2011,2011,Licensed,612,621,651,680,688,682,696,705,731,735,747,758
Cars,ABARTH,ABARTH 500,500,[x],2010,Licensed,9,9,10,12,15,12,14,15,14,16,14,17
Cars,ABARTH,ABARTH 500,500,[x],2009,Licensed,13,12,12,12,10,11,13,13,14,12,14,15
Cars,ABARTH,ABARTH 500,500,[x],1971,Licensed,1,1,1,1,1,1,1,1,1,0,0,0
Cars,ABARTH,ABARTH 500,500,2015,2015,Licensed,183,184,189,194,195,200,209,209,218,209,204,[z]
Cars,ABARTH,ABARTH 500,500,[x],2013,Licensed,4,3,3,3,2,3,3,3,3,3,3,1
Cars,ABARTH,ABARTH 500,500,[x],2014,Licensed,3,1,1,1,1,1,1,1,1,1,1,1
Cars,ABARTH,ABARTH 500,500,2015,2015,SORN,12,8,9,3,4,5,0,2,1,2,1,[z]
Cars,ABARTH,ABARTH 500,500,[x],2008,SORN,2,2,2,2,2,2,2,1,2,1,1,1
Cars,ABARTH,ABARTH 500,500,[x],2009,SORN,3,4,4,4,5,4,4,3,2,3,2,2
Cars,ABARTH,ABARTH 500,500,[x],1967,SORN,1,0,0,0,0,0,0,0,0,0,0,0
Cars,ABARTH,ABARTH 500,500,2012,2012,SORN,61,58,41,32,32,22,16,12,12,10,6,9
Cars,ABARTH,ABARTH 500,500,2013,2013,Licensed,363,370,380,394,410,421,412,432,435,438,447,455
Cars,ABARTH,ABARTH 500,500,2010,2010,SORN,144,104,84,81,55,62,46,35,30,19,17,14
Cars,ABARTH,ABARTH 500,500,[x],2019,Licensed,1,0,0,0,0,0,0,[z],[z],[z],[z],[z]
Cars,ABARTH,ABARTH 500,500,[x],2011,SORN,1,1,1,1,1,1,1,2,1,1,1,1
Cars,ABARTH,ABARTH 500,500,[x],2010,SORN,4,5,4,3,1,3,2,1,2,1,2,0
Cars,ABARTH,ABARTH 500,500,[x],2018,Licensed,1,1,1,1,1,1,1,0,[z],[z],[z],[z]
Cars,ABARTH,ABARTH 500,500,2013,2013,SORN,43,34,26,20,14,10,10,9,10,6,2,1
Cars,ABARTH,ABARTH 500,500,[x],1974,Licensed,1,1,1,1,1,1,1,1,1,0,0,0
Cars,ABARTH,ABARTH 500,500,2012,2012,Licensed,507,519,542,562,570,588,608,613,631,633,643,645
