country,make_raw,make,count
GB,LAND ROVER,LAND ROVER,70876537
GB,HYUNDAI,HYUNDAI,65714365
GB,KIA,KIA,62301648
GB,ROVER,ROVER,44856168
GB,AUSTIN,AUSTIN,10691910
GB,DACIA,DACIA,9896387
GB,OTHER BRITISH,OTHER BRITISH,9496513
GB,JEEP,JEEP,8217402
GB,CHEVROLET,CHEVROLET,7882637
GB,CHRYSLER,CHRYSLER,5829943
GB,DAEWOO,DAEWOO,5044962
GB,TESLA,TESLA,4891142
GB,TRIUMPH,TRIUMPH,4371332
GB,DAIHATSU,DAIHATSU,4351027
GB,MORRIS,MORRIS,3775317
GB,BENTLEY,BENTLEY,2385981
GB,PROTON,PROTON,2261216
GB,DS,DS,2059320
GB,ISUZU,ISUZU,1543116
GB,SSANGYONG,SSANGYONG,1451277
GB,ROLLS ROYCE,ROLLS ROYCE,1341511
GB,CUPRA,CUPRA,1275978
GB,MCC,MCC,961434
GB,DODGE,DODGE,883047
GB,AUSTIN-MORRIS,AUSTIN-MORRIS,689433
GB,MORGAN,MORGAN,667203
GB,LADA,LADA,665499
GB,CHEVROLET GMC,CHEVROLET GMC,595148
GB,POLESTAR,POLESTAR,590628
GB,DATSUN,DATSUN,577776
NL,KIA,KIA,509180
GB,INFINITI,INFINITI,505083
GB,RILEY,RILEY,500439
GB,PERODUA,PERODUA,494023
GB,RELIANT,RELIANT,451868
GB,HILLMAN,HILLMAN,439109
GB,TALBOT,TALBOT,407718
GB,AUSTIN HEALEY,AUSTIN HEALEY,401009
GB,SUNBEAM,SUNBEAM,395705
GB,WOLSELEY,WOLSELEY,374389
NL,HYUNDAI,HYUNDAI,365616
GB,BYD,BYD,322557
GB,LEYLAND CARS,LEYLAND CARS,320026
GB,LAMBORGHINI,LAMBORGHINI,262678
GB,CADILLAC,CADILLAC,254985
GB,WESTFIELD,WESTFIELD,229393
GB,PONTIAC,PONTIAC,223497
GB,HUMBER,HUMBER,208612
GB,SINGER,SINGER,180083
GB,JENSEN,JENSEN,175970
GB,MCLAREN,MCLAREN,169613
GB,MICROCAR,MICROCAR,150031
GB,ZASTAVA,ZASTAVA,146134
GB,JAECOO,JAECOO,134359
NL,TESLA,TESLA,133915
GB,COLT,COLT,129067
GB,OMODA,OMODA,121766
GB,OTHER ITALIAN,OTHER ITALIAN,111098
GB,LINCOLN,LINCOLN,110015
GB,AIXAM,AIXAM,109032
GB,VANDEN PLAS,VANDEN PLAS,105102
GB,OTHER US/AUST/CAN,OTHER US/AUST/CAN,97843
GB,OTHER COUNTRIES,OTHER COUNTRIES,93810
NL,DACIA,DACIA,88139
GB,BUICK,BUICK,85794
GB,AUSTIN MORRIS,AUSTIN MORRIS,76491
GB,GENESIS,GENESIS,56577
GB,BRISTOL (BLMC),BRISTOL (BLMC),56337
NL,LAND ROVER,LAND ROVER,55721
NL,CHEVROLET,CHEVROLET,55608
GB,PANTHER,PANTHER,54184
GB,FSO CARS,FSO CARS,45529
GB,REVA,REVA,40761
GB,OLDSMOBILE,OLDSMOBILE,39866
NL,DAIHATSU,DAIHATSU,39787
GB,GINETTA,GINETTA,38803
NL,LYNK&CO,LYNK&CO,37329
GB,MARCOS,MARCOS,37298
NL,JEEP,JEEP,35145
GB,BOND,BOND,34688
GB,PLYMOUTH,PLYMOUTH,34599
NL,CUPRA,CUPRA,33410
GB,OTHER AGRIC/CONSTRUCTIONAL,OTHER AGRIC/CONSTRUCTIONAL,32640
GB,MERCURY,MERCURY,28446
GB,OTHER GERMAN,OTHER GERMAN,27191
GB,TATA,TATA,26252
GB,CHERY,CHERY,25673
GB,KYMCO,KYMCO,25432
GB,AC (ELECTRIC),AC (ELECTRIC),24421
GB,ORA,ORA,24266
GB,COLEMAN MILNE,COLEMAN MILNE,23316
GB,SECMA,SECMA,23232
GB,OTHER FRENCH,OTHER FRENCH,22627
GB,KGM,KGM,21664
GB,AC,AC,21171
GB,ALPINA,ALPINA,20681
GB,BRISTOL,BRISTOL,20621
GB,NSU,NSU,20153
GB,LEAPMOTOR,LEAPMOTOR,18010
GB,HUMMER,HUMMER,17477
GB,BSA,BSA,17298
NL,POLESTAR,POLESTAR,17133
GB,SIMCA,SIMCA,17092
GB,INEOS,INEOS,16920
NL,BYD,BYD,16787
GB,DAF,DAF,16116
GB,BUGATTI,BUGATTI,15829
GB,IVECO,IVECO,15293
GB,ARIEL,ARIEL,13088
NL,HYMER,HYMER,13012
GB,LDV,LDV,12634
GB,BEDFORD,BEDFORD,11735
GB,CORVETTE,CORVETTE,11555
GB,LIGIER,LIGIER,10196
GB,HOLDEN,HOLDEN,10039
NL,DS,DS,9562
GB,SMC,SMC,9267
NL,CHRYSLER,CHRYSLER,8438
GB,OTHER JAPANESE/ASIAN,OTHER JAPANESE/ASIAN,8418
NL,ADRIA,ADRIA,8319
GB,SAO,SAO,8272
GB,LONDON TAXIS INT,LONDON TAXIS INT,7654
NL,BUERSTNER,BUERSTNER,7518
GB,RENAULT TRUCKS,RENAULT TRUCKS,7266
GB,WARTBURG,WARTBURG,6985
NL,KNAUS,KNAUS,6962
NL,CAPRON,CAPRON,6772
NL,DETHLEFFS,DETHLEFFS,6737
GB,MAYBACH,MAYBACH,6718
GB,OTHER WEST EUROPEAN,OTHER WEST EUROPEAN,6566
NL,TRIUMPH,TRIUMPH,6228
NL,AUTO UNION,AUTO UNION,5920
NL,ROVER,ROVER,5782
NL,TESLA MOTORS,TESLA MOTORS,5260
NL,POESSL,POESSL,5052
GB,CARBODIES,CARBODIES,4955
NL,DODGE,DODGE,4796
GB,ACURA,ACURA,4602
GB,YAMAHA,YAMAHA,4473
NL,LEAPMOTOR,LEAPMOTOR,4215
NL,CHAUSSON,CHAUSSON,4205
GB,DE TOMASO,DE TOMASO,4126
NL,CADILLAC,CADILLAC,4062
NL,XPENG,XPENG,4035
NL,CARTHAGO,CARTHAGO,4022
NL,DAF,DAF,3990
NL,FORD-CNG-TECHNIK,FORD-CNG-TECHNIK,3943
NL,ZEEKR,ZEEKR,3931
GB,XPENG,XPENG,3836
NL,DAEWOO,DAEWOO,3773
NL,MERCEDES-AMG,MERCEDES-AMG,3750
GB,SHINERAY,SHINERAY,3551
GB,STUART TAYLOR,STUART TAYLOR,3424
GB,MGXPOWER,MGXPOWER,3411
NL,ADRIA MOBIL,ADRIA MOBIL,3311
GB,FISKER,FISKER,3292
GB,LEYLAND,LEYLAND,3252
NL,BENTLEY,BENTLEY,3188
GB,FORDSON,FORDSON,2962
GB,STEYR,STEYR,2924
NL,WEINSBERG,WEINSBERG,2921
GB,KAWASAKI,KAWASAKI,2849
GB,ALL WHEEL DRIVE,ALL WHEEL DRIVE,2824
NL,PONTIAC,PONTIAC,2743
NL,JAECOO,JAECOO,2689
NL,AUSTIN,AUSTIN,2677
GB,MAHINDRA,MAHINDRA,2662
NL,JAGUAR CARS,JAGUAR CARS,2626
GB,UMM,UMM,2519
GB,MOKE AUTOMIBILI,MOKE AUTOMIBILI,2335
GB,KTM,KTM,2326
GB,LAMBRETTA,LAMBRETTA,2258
GB,ISUZU TRUCKS,ISUZU TRUCKS,2206
GB,OTHER ELECTRIC,OTHER ELECTRIC,2163
NL,NEKAF,NEKAF,2112
GB,ZENOS,ZENOS,2066
GB,AJS,AJS,1971
GB,THINK,THINK,1965
NL,RAPIDO,RAPIDO,1955
NL,BUICK,BUICK,1950
NL,LMC,LMC,1939
NL,MC LOUIS,MC LOUIS,1930
GB,COMMER,COMMER,1911
GB,OTHER/COMMERCIAL/THORNEYCROFT,OTHER/COMMERCIAL/THORNEYCROFT,1907
GB,GWM,GWM,1906
NL,CHALLENGER,CHALLENGER,1905
NL,MICRO COMPACT CAR SMART,MICRO COMPACT CAR SMART,1837
GB,CHANGAN,CHANGAN,1829
GB,MASSEY FERGUSON,MASSEY FERGUSON,1823
GB,OTHER EAST EUROPEAN,OTHER EAST EUROPEAN,1823
GB,GENERAL MOTORS,GENERAL MOTORS,1821
GB,JIALING,JIALING,1784
GB,MAN,MAN,1670
NL,WESTFALIA,WESTFALIA,1597
GB,LEYLAND DAF,LEYLAND DAF,1580
GB,MOSKVICH,MOSKVICH,1559
GB,FREIGHT ROVER,FREIGHT ROVER,1526
GB,SANTANA,SANTANA,1505
NL,HOBBY,HOBBY,1491
NL,ROLLS ROYCE,ROLLS ROYCE,1468
GB,MOTO ROMA,MOTO ROMA,1456
GB,METROCAB,METROCAB,1445
GB,VOLGA,VOLGA,1444
GB,AEON,AEON,1434
NL,LINCOLN,LINCOLN,1389
GB,REGENT,REGENT,1383
NL,WILLYS,WILLYS,1373
GB,SANYANG,SANYANG,1350
NL,BURSTNER GMBH,BURSTNER GMBH,1348
NL,JAGUAR LAND ROVER,JAGUAR LAND ROVER,1344
GB,PGO,PGO,1313
NL,MORRIS,MORRIS,1279
GB,POLSKI-FIAT,POLSKI-FIAT,1249
NL,DATSUN,DATSUN,1231
NL,QUATTRO,QUATTRO,1209
NL,BENIMAR,BENIMAR,1203
GB,MAXUS,MAXUS,1196
NL,IVECO,IVECO,1194
GB,POLARIS,POLARIS,1192
NL,OLDSMOBILE,OLDSMOBILE,1183
GB,ROYAL ENFIELD,ROYAL ENFIELD,1164
GB,GREAT WALL,GREAT WALL,1155
GB,DENNIS,DENNIS,1123
NL,OMODA,OMODA,1122
GB,PIAGGIO,PIAGGIO,1092
GB,BASHAN,BASHAN,1079
NL,ROLLER TEAM,ROLLER TEAM,1076
GB,DFSK,DFSK,1029
NL,LADA,LADA,999
NL,EURA MOBIL,EURA MOBIL,988
GB,IVECO-FORD,IVECO-FORD,956
NL,TRABANT,TRABANT,951
GB,CLASSIC REPLICAS,CLASSIC REPLICAS,944
GB,DOUGLAS,DOUGLAS,924
GB,NORTON,NORTON,914
NL,PILOTE,PILOTE,910
GB,DAVID BROWN,DAVID BROWN,906
NL,INFINITI,INFINITI,900
NL,NIO,NIO,900
NL,TRIGANO,TRIGANO,870
GB,MAGIRUS DEUTZ,MAGIRUS DEUTZ,867
NL,ALPINA,ALPINA,847
NL,SUN LIVING,SUN LIVING,819
NL,AIWAYS,AIWAYS,817
NL,LAMBORGHINI,LAMBORGHINI,815
NL,DAIMLERCHRYSLER AG,DAIMLERCHRYSLER AG,811
NL,KARMANN MOBIL,KARMANN MOBIL,805
NL,DONGFENG,DONGFENG,778
GB,CASE,CASE,775
NL,LAIKA CARAVANS S.P.A.,LAIKA CARAVANS S.P.A.,765
NL,G.M.C.,G.M.C.,758
NL,MORGAN,MORGAN,743
GB,RALEIGH,RALEIGH,737
GB,JCB,JCB,733
NL,MERCURY,MERCURY,724
GB,INT. HARVESTER,INT. HARVESTER,723
NL,ELNAGH,ELNAGH,718
GB,MOTO GUZZI,MOTO GUZZI,685
NL,RIMOR,RIMOR,683
NL,DAIMLER BENZ,DAIMLER BENZ,683
GB,ASIA,ASIA,680
NL,SSANGYONG,SSANGYONG,674
NL,SIMCA,SIMCA,646
GB,KOENIGSEGG,KOENIGSEGG,646
NL,PLYMOUTH,PLYMOUTH,644
GB,VESPA (DOUGLAS),VESPA (DOUGLAS),634
GB,KUBOTA,KUBOTA,622
GB,MIA,MIA,609
GB,ALBION,ALBION,606
GB,CZ,CZ,601
NL,N.S.U.,N.S.U.,594
NL,AUTO BIANCHI,AUTO BIANCHI,584
GB,VENTURI,VENTURI,575
GB,LONSDALE,LONSDALE,547
GB,PINZGAUER,PINZGAUER,543
GB,VOLKSWAGEN  COMM,VOLKSWAGEN  COMM,534
GB,SAVIEM,SAVIEM,521
NL,NIESMANN-BISCHOFF,NIESMANN-BISCHOFF,503
GB,BAROSSA,BAROSSA,475
GB,JOHN DEERE,JOHN DEERE,464
NL,MATRA,MATRA,461
NL,POSSL,POSSL,448
GB,DEMM,DEMM,444
GB,GSMOON,GSMOON,437
NL,MOBILVETTA,MOBILVETTA,435
NL,LAIKA,LAIKA,432
NL,TEC,TEC,428
NL,MC LOUIS SPA,MC LOUIS SPA,428
NL,GEELY,GEELY,422
GB,AM GENERAL,AM GENERAL,416
GB,CCM,CCM,415
NL,ALPINE-RENAULT,ALPINE-RENAULT,412
NL,ALKO,ALKO,399
GB,LEYLAND AEC,LEYLAND AEC,386
GB,IBC,IBC,382
NL,BEDFORD,BEDFORD,377
GB,NUFFIELD,NUFFIELD,375
GB,GOKA,GOKA,374
NL,TOTH ES FIAI,TOTH ES FIAI,372
GB,EBRO,EBRO,370
NL,DONKERVOORT,DONKERVOORT,366
NL,VINFAST,VINFAST,364
GB,SUPERBYKE,SUPERBYKE,360
GB,MANITOU,MANITOU,359
NL,DS AUTOMOBILES,DS AUTOMOBILES,349
GB,ISEKI,ISEKI,348
GB,KINROAD,KINROAD,343
GB,NOBLE,NOBLE,341
NL,AUTOMOBILI LAMBORGHINI S.,AUTOMOBILI LAMBORGHINI S.,336
GB,XINTIAN,XINTIAN,326
GB,ACCESS,ACCESS,326
GB,SAN,SAN,325
NL,TALBOT,TALBOT,322
NL,ETRUSCO,ETRUSCO,318
NL,AUSTIN-HEALEY,AUSTIN-HEALEY,314
GB,AVELING BARFORD,AVELING BARFORD,313
NL,FRANKIA,FRANKIA,309
NL,VW-PORSCHE,VW-PORSCHE,308
GB,DAX,DAX,308
GB,SCANIA,SCANIA,304
GB,BOMBARDIER,BOMBARDIER,304
GB,BMC,BMC,297
GB,GAS GAS,GAS GAS,297
GB,GORDON MURRAY,GORDON MURRAY,293
GB,PUCH,PUCH,293
GB,JAMES,JAMES,291
GB,LONCIN,LONCIN,286
GB,VELOCETTE,VELOCETTE,279
GB,XINLING,XINLING,278
NL,RIMOR S.P.A.,RIMOR S.P.A.,277
GB,STRATHCARRON,STRATHCARRON,275
NL,WESTFIELD,WESTFIELD,267
NL,GIOTTILINE,GIOTTILINE,264
GB,R-VISION,R-VISION,262
GB,CAPRI,CAPRI,261
GB,CAGIVA,CAGIVA,260
GB,LEYLAND AM,LEYLAND AM,259
NL,JOINT,JOINT,254
NL,SUNBEAM,SUNBEAM,252
NL,MC LAREN,MC LAREN,252
GB,HYSTER,HYSTER,249
GB,ELECTRICARS,ELECTRICARS,248
NL,CONCORDE,CONCORDE,245
GB,UAZ,UAZ,245
GB,YALE,YALE,243
NL,MICRO COMPACT CAR,MICRO COMPACT CAR,241
GB,QUADZILLA,QUADZILLA,239
NL,KNAUS TABBERT,KNAUS TABBERT,238
GB,DUKAR,DUKAR,234
NL,HUMMER,HUMMER,233
NL,AUTOSTAR,AUTOSTAR,230
GB,IRIS.BUS,IRIS.BUS,226
GB,LEVC,LEVC,226
NL,RELIANT,RELIANT,225
GB,AVANTI,AVANTI,220
NL,BAVARIA,BAVARIA,219
GB,SAXON,SAXON,217
GB,SPYKER,SPYKER,210
NL,JENSEN,JENSEN,210
NL,D.K.W.,D.K.W.,207
GB,SKYWELL,SKYWELL,206
GB,GIBBS TECHNOLOGIES,GIBBS TECHNOLOGIES,206
NL,LUCID MOTORS,LUCID MOTORS,204
NL,WOLSELEY,WOLSELEY,204
NL,ITINEO,ITINEO,201
NL,NIESMANN+BISCHOFF,NIESMANN+BISCHOFF,200
NL,SERES,SERES,197
NL,MONCAYO,MONCAYO,197
NL,RILEY,RILEY,192
NL,HANOMAG-HENSCHEL,HANOMAG-HENSCHEL,192
GB,DINLI,DINLI,192
GB,PEGASO,PEGASO,191
GB,MK SPORTSCARS,MK SPORTSCARS,190
NL,STUDEBAKER,STUDEBAKER,190
NL,LA STRADA,LA STRADA,190
NL,FISKER,FISKER,185
GB,NOBLE AUTOMOTIVE,NOBLE AUTOMOTIVE,185
GB,LONDON TAXIS INT.,LONDON TAXIS INT.,183
GB,MATCHLESS,MATCHLESS,183
NL,SEA,SEA,183
GB,CAN-AM,CAN-AM,182
NL,KG MOBILITY,KG MOBILITY,181
NL,M.A.N.,M.A.N.,181
GB,LEYLAND NATIONAL,LEYLAND NATIONAL,175
GB,ZHENHUA,ZHENHUA,174
GB,LEYLAND REDLINE,LEYLAND REDLINE,174
NL,DFSK,DFSK,173
GB,BRA,BRA,170
NL,LADA-VAZ,LADA-VAZ,169
NL,AMERICAN MOTORS,AMERICAN MOTORS,167
NL,CI,CI,166
NL,FAW,FAW,164
NL,GMC,GMC,163
NL,PANHARD,PANHARD,163
GB,CLASSIC CUSTOM,CLASSIC CUSTOM,161
GB,TIGER,TIGER,159
GB,COUNTY COMM CARS,COUNTY COMM CARS,158
NL,PACKARD,PACKARD,157
NL,PUCH,PUCH,157
GB,PILGRIM,PILGRIM,157
NL,ZASTAVA,ZASTAVA,154
GB,WIESMANN,WIESMANN,153
NL,BORGWARD,BORGWARD,151
GB,MOBYLETTE,MOBYLETTE,151
NL,WARTBURG,WARTBURG,151
GB,FARBOUD,FARBOUD,150
NL,FORSTER,FORSTER,150
GB,MGB,MGB,149
NL,DERCKS,DERCKS,149
NL,DREAMER,DREAMER,148
GB,ROBIN HOOD,ROBIN HOOD,147
GB,KARRIER,KARRIER,147
GB,URBAN,URBAN,145
GB,MITSUBISHI FUSO,MITSUBISHI FUSO,145
NL,MAN,MAN,141
GB,CATERPILLAR,CATERPILLAR,140
NL,WILLYS OVERLAND,WILLYS OVERLAND,139
GB,EAGLE,EAGLE,135
GB,OPTARE,OPTARE,135
NL,UAZ,UAZ,135
NL,SINGER,SINGER,133
NL,ALVIS,ALVIS,133
NL,SANTANA,SANTANA,131
GB,BEAUFORD,BEAUFORD,130
NL,GENESIS,GENESIS,130
GB,JONWAY,JONWAY,129
NL,VOYAH,VOYAH,127
GB,BETA,BETA,127
NL,INNOCENTI,INNOCENTI,124
NL,KAISER,KAISER,123
