country,make_raw,make,model_gen_raw,model_raw,model_gen,generation,count,source_file
GB,TOYOTA,TOYOTA,TOYOTA MODEL MISSING,MODEL MISSING,,,3809844,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,MITSUBISHI,MITSUBISHI,MITSUBISHI MODEL MISSING,MODEL MISSING,,,2916090,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,FORD,FORD,FORD MODEL MISSING,MODEL MISSING,,,2691079,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,NISSAN,NISSAN,NISSAN MODEL MISSING,MODEL MISSING,,,2568901,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,VOLKSWAGEN,VOLKSWAGEN,VOLKSWAGEN MODEL MISSING,MODEL MISSING,,,1835010,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES MODEL MISSING,MODEL MISSING,,,1558786,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MAZDA,MAZDA,MAZDA MODEL MISSING,MODEL MISSING,,,1375330,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,RENAULT,RENAULT,RENAULT MODEL MISSING,MODEL MISSING,,,1284673,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,HONDA,HONDA,HONDA MODEL MISSING,MODEL MISSING,,,935270,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,PEUGEOT,PEUGEOT,PEUGEOT MODEL MISSING,MODEL MISSING,,,764767,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,JAGUAR,JAGUAR,JAGUAR MODEL MISSING,MODEL MISSING,,,714483,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,BMW,BMW,BMW MODEL MISSING,MODEL MISSING,,,630980,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,VAUXHALL,OPEL,VAUXHALL MODEL MISSING,MODEL MISSING,,,615128,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,MG,MG,MG MODEL MISSING,MODEL MISSING,,,603402,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,VOLVO,VOLVO,VOLVO MODEL MISSING,MODEL MISSING,,,592902,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,SMART,SMART,SMART CITY,CITY PASSION 61 AUTO,,,588915,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,PORSCHE,PORSCHE,PORSCHE MODEL MISSING,MODEL MISSING,,,583506,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,FERRARI,FERRARI,FERRARI MODEL MISSING,MODEL MISSING,,,575726,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,SUBARU,SUBARU,SUBARU MODEL MISSING,MODEL MISSING,,,564027,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,TOYOTA,TOYOTA,TOYOTA RAV4,RAV-4 GX,,,537675,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,AUDI,AUDI,AUDI MODEL MISSING,MODEL MISSING,,,500124,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MINI,MINI,MINI FIRST,FIRST,,,495648,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,JAGUAR,JAGUAR,JAGUAR E TYPE,'E' TYPE,,,454044,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,TOYOTA,TOYOTA,TOYOTA IQ,IQ2 VVT-I,,,433414,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,FORD,FORD,FORD KA,KA3,,,414134,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,FIAT,FIAT,FIAT MODEL MISSING,MODEL MISSING,,,410138,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,OPEL,OPEL,OPEL MODEL MISSING,MODEL MISSING,,,392540,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
