make,model_gen,generation,country,series,cohort,year,stock,retention
ABARTH,500,312,GB,VEH0124,2009,2014,892,0.9988801791713325
ABARTH,500,312,GB,VEH0124,2009,2015,893,1.0
ABARTH,500,312,GB,VEH0124,2009,2016,876,0.9809630459126539
ABARTH,500,312,GB,VEH0124,2009,2017,846,0.9473684210526315
ABARTH,500,312,GB,VEH0124,2009,2018,807,0.9036954087346024
ABARTH,500,312,GB,VEH0124,2009,2019,793,0.8880179171332587
ABARTH,500,312,GB,VEH0124,2009,2020,755,0.845464725643897
ABARTH,500,312,GB,VEH0124,2009,2021,745,0.8342665173572228
ABARTH,500,312,GB,VEH0124,2009,2022,734,0.8219484882418813
ABARTH,500,312,GB,VEH0124,2009,2023,691,0.7737961926091825
ABARTH,500,312,GB,VEH0124,2009,2024,660,0.7390817469204927
ABARTH,500,312,GB,VEH0124,2009,2025,622,0.696528555431131
ABARTH,500,312,GB,VEH0124,2010,2014,1060,1.0
ABARTH,500,312,GB,VEH0124,2010,2015,1042,0.9830188679245283
ABARTH,500,312,GB,VEH0124,2010,2016,1040,0.9811320754716981
ABARTH,500,312,GB,VEH0124,2010,2017,1001,0.9443396226415094
ABARTH,500,312,GB,VEH0124,2010,2018,975,0.9198113207547169
ABARTH,500,312,GB,VEH0124,2010,2019,930,0.8773584905660378
ABARTH,500,312,GB,VEH0124,2010,2020,901,0.85
ABARTH,500,312,GB,VEH0124,2010,2021,902,0.8509433962264151
ABARTH,500,312,GB,VEH0124,2010,2022,864,0.8150943396226416
ABARTH,500,312,GB,VEH0124,2010,2023,846,0.7981132075471699
ABARTH,500,312,GB,VEH0124,2010,2024,818,0.7716981132075472
ABARTH,500,312,GB,VEH0124,2010,2025,781,0.7367924528301887
ABARTH,500,312,GB,VEH0124,2011,2014,978,1.0
ABARTH,500,312,GB,VEH0124,2011,2015,965,0.9867075664621677
ABARTH,500,312,GB,VEH0124,2011,2016,950,0.9713701431492843
ABARTH,500,312,GB,VEH0124,2011,2017,935,0.9560327198364008
ABARTH,500,312,GB,VEH0124,2011,2018,910,0.9304703476482618
ABARTH,500,312,GB,VEH0124,2011,2019,897,0.9171779141104295
ABARTH,500,312,GB,VEH0124,2011,2020,874,0.8936605316973415
ABARTH,500,312,GB,VEH0124,2011,2021,875,0.8946830265848671
ABARTH,500,312,GB,VEH0124,2011,2022,864,0.8834355828220859
ABARTH,500,312,GB,VEH0124,2011,2023,826,0.8445807770961146
ABARTH,500,312,GB,VEH0124,2011,2024,791,0.8087934560327198
ABARTH,500,312,GB,VEH0124,2011,2025,784,0.8016359918200409
ABARTH,500,312,GB,VEH0124,2012,2014,988,1.0
ABARTH,500,312,GB,VEH0124,2012,2015,981,0.992914979757085
ABARTH,500,312,GB,VEH0124,2012,2016,954,0.9655870445344129
ABARTH,500,312,GB,VEH0124,2012,2017,955,0.9665991902834008
ABARTH,500,312,GB,VEH0124,2012,2018,929,0.9402834008097166
ABARTH,500,312,GB,VEH0124,2012,2019,924,0.9352226720647774
ABARTH,500,312,GB,VEH0124,2012,2020,888,0.8987854251012146
ABARTH,500,312,GB,VEH0124,2012,2021,868,0.8785425101214575
ABARTH,500,312,GB,VEH0124,2012,2022,868,0.8785425101214575
ABARTH,500,312,GB,VEH0124,2012,2023,832,0.8421052631578947
ABARTH,500,312,GB,VEH0124,2012,2024,797,0.8066801619433198
ABARTH,500,312,GB,VEH0124,2012,2025,779,0.7884615384615384
ABARTH,500,312,GB,VEH0124,2013,2014,982,1.0
ABARTH,500,312,GB,VEH0124,2013,2015,968,0.9857433808553971
ABARTH,500,312,GB,VEH0124,2013,2016,953,0.9704684317718941
ABARTH,500,312,GB,VEH0124,2013,2017,929,0.9460285132382892
ABARTH,500,312,GB,VEH0124,2013,2018,922,0.9389002036659878
ABARTH,500,312,GB,VEH0124,2013,2019,888,0.9042769857433809
ABARTH,500,312,GB,VEH0124,2013,2020,896,0.9124236252545825
ABARTH,500,312,GB,VEH0124,2013,2021,875,0.8910386965376782
ABARTH,500,312,GB,VEH0124,2013,2022,838,0.8533604887983707
ABARTH,500,312,GB,VEH0124,2013,2023,817,0.8319755600814664
ABARTH,500,312,GB,VEH0124,2013,2024,797,0.8116089613034623
ABARTH,500,312,GB,VEH0124,2013,2025,773,0.7871690427698574
ABARTH,500,312,GB,VEH0124,2014,2014,1172,0.9991474850809889
ABARTH,500,312,GB,VEH0124,2014,2015,1173,1.0
ABARTH,500,312,GB,VEH0124,2014,2016,1133,0.9658994032395567
ABARTH,500,312,GB,VEH0124,2014,2017,1101,0.9386189258312021
ABARTH,500,312,GB,VEH0124,2014,2018,1085,0.9249786871270247
ABARTH,500,312,GB,VEH0124,2014,2019,1069,0.9113384484228474
ABARTH,500,312,GB,VEH0124,2014,2020,1061,0.9045183290707587
ABARTH,500,312,GB,VEH0124,2014,2021,1025,0.8738277919863597
ABARTH,500,312,GB,VEH0124,2014,2022,1026,0.8746803069053708
ABARTH,500,312,GB,VEH0124,2014,2023,1002,0.8542199488491049
ABARTH,500,312,GB,VEH0124,2014,2024,996,0.8491048593350383
ABARTH,500,312,GB,VEH0124,2014,2025,981,0.8363171355498721
ABARTH,500,312,GB,VEH0124,2015,2015,2149,1.0
ABARTH,500,312,GB,VEH0124,2015,2016,2141,0.9962773382968823
ABARTH,500,312,GB,VEH0124,2015,2017,2139,0.9953466728711028
ABARTH,500,312,GB,VEH0124,2015,2018,2048,0.9530013959981387
ABARTH,500,312,GB,VEH0124,2015,2019,2059,0.9581200558399255
ABARTH,500,312,GB,VEH0124,2015,2020,2031,0.9450907398790135
ABARTH,500,312,GB,VEH0124,2015,2021,1986,0.9241507677989763
