make,model_gen,peak_year,stock_peak,year_now,stock_now,loss,existing_targets_of_make
RENAULT,19,1997,116325,2026,48,0.9995873629916183,"19 16V MK1, 5 GT TURBO MK2, AVANTIME MK1, CLIO 16V MK1, CLIO RS MK2, CLIO RS MK3, CLIO V6 MK2, CLIO WILLIAMS MK1, MEGANE RS MK2, MEGANE RS MK3, SPIDER SPIDER, TWINGO RS MK2"
OPEL,CARLTON,1994,187896,2026,102,0.9994571465065781,"ASTRA OPC G, ASTRA OPC H, CALIBRA A, CORSA VXR D, LOTUS CARLTON A, MONARO V2, VX220 VX220"
PEUGEOT,309,1994,186845,2026,137,0.9992667719232519,"106 RALLYE S1, 106 RALLYE S2, 205 GTI MK1, 206 GTI MK1, 208 GTI MK1, 306 GTI-6 MK2, 306 S16 MK1, 309 GTI MK1, 406 COUPE MK1, RCZ MK1"
FORD,SIERRA,1994,1044602,2026,1030,0.9990139785296218,"ESCORT RS COSWORTH MK5, FIESTA ST MK6, FIESTA ST MK7, FOCUS RS MK1, FOCUS RS MK2, FOCUS ST MK2, PUMA MK1, RACING PUMA MK1, SIERRA COSWORTH MK2"
NISSAN,SUNNY,1995,258709,2026,264,0.9989795484501892,"200SX S13, 200SX S14, 300ZX Z32, 350Z Z33, 370Z Z34, GT-R R35, SKYLINE GT-R R32, SKYLINE GT-R R33, SKYLINE GT-R R34, SUNNY GTI-R N14"
RENAULT,5,1994,182338,2026,306,0.9983217979795764,"19 16V MK1, 5 GT TURBO MK2, AVANTIME MK1, CLIO 16V MK1, CLIO RS MK2, CLIO RS MK3, CLIO V6 MK2, CLIO WILLIAMS MK1, MEGANE RS MK2, MEGANE RS MK3, SPIDER SPIDER, TWINGO RS MK2"
LANCIA,DELTA,1994,3914,2026,13,0.9966785896780787,"DELTA INTEGRALE 831, THEMA 8.32 Y9"
PEUGEOT,205,1994,310829,2026,1096,0.9964739454812774,"106 RALLYE S1, 106 RALLYE S2, 205 GTI MK1, 206 GTI MK1, 208 GTI MK1, 306 GTI-6 MK2, 306 S16 MK1, 309 GTI MK1, 406 COUPE MK1, RCZ MK1"
LANCIA,THEMA,1994,2889,2026,13,0.9955001730702665,"DELTA INTEGRALE 831, THEMA 8.32 Y9"
PEUGEOT,306,2002,389929,2026,2314,0.9940655862990442,"106 RALLYE S1, 106 RALLYE S2, 205 GTI MK1, 206 GTI MK1, 208 GTI MK1, 306 GTI-6 MK2, 306 S16 MK1, 309 GTI MK1, 406 COUPE MK1, RCZ MK1"
OPEL,OMEGA,2003,104506,2026,630,0.993971637992077,"ASTRA OPC G, ASTRA OPC H, CALIBRA A, CORSA VXR D, LOTUS CARLTON A, MONARO V2, VX220 VX220"
PEUGEOT,406,2003,233559,2026,1662,0.992884025021515,"106 RALLYE S1, 106 RALLYE S2, 205 GTI MK1, 206 GTI MK1, 208 GTI MK1, 306 GTI-6 MK2, 306 S16 MK1, 309 GTI MK1, 406 COUPE MK1, RCZ MK1"
FORD,ESCORT,1994,1697722,2026,12096,0.9928751585948701,"ESCORT RS COSWORTH MK5, FIESTA ST MK6, FIESTA ST MK7, FOCUS RS MK1, FOCUS RS MK2, FOCUS ST MK2, PUMA MK1, RACING PUMA MK1, SIERRA COSWORTH MK2"
PEUGEOT,106,2002,332733,2026,3017,0.9909326697381985,"106 RALLYE S1, 106 RALLYE S2, 205 GTI MK1, 206 GTI MK1, 208 GTI MK1, 306 GTI-6 MK2, 306 S16 MK1, 309 GTI MK1, 406 COUPE MK1, RCZ MK1"
CITROEN,SAXO,2003,222407,2026,2074,0.9906747539420971,"C2 VTS A6, DS3 RACING A55, SAXO VTS S0, XSARA VTS N0"
FIAT,PUNTO HGT,2005,2251,2026,32,0.9857840959573523,"BARCHETTA 183, COUPE 175, PUNTO GT 176"
SAAB,900,1998,62080,2026,887,0.9857119845360824,"9-3 VIGGEN MK1, 900 TURBO CLASSIC"
MAZDA,MX-6,1997,4607,2026,86,0.9813327545040156,"MX-3 EC, MX-5 NA, MX-5 NB, MX-5 NC, RX-7 FD, RX-8 SE3P"
AUDI,COUPE,1996,15869,2026,349,0.9780074358812779,"R8 42, RS2 B4, RS4 B5, RS4 B7, RS6 C5, RS6 C6, S2 B3_B4, S3 8L, S4 B5, S8 D2, TT 8J, TT 8N"
VOLVO,850,1999,42932,2026,1063,0.9752399142830522,"480 480, 850 R 854, C70 I, S60 R P2"
MERCEDES-BENZ,190,1994,66635,2026,2045,0.9693104224506641,"190E 2.5-16 W201, C43 AMG W202, C55 AMG W203, C63 AMG W204, CL C140, CL C215, CL C216, CLK C208, CLK C209, E55 AMG W210, E55 AMG W211, E63 AMG W212, S-CLASS W140, S-CLASS W220, S-CLASS W221, SL R129, SL R230, SLK R170, SLK R171, SLR MCLAREN C199, SLS AMG C197"
ALFA ROMEO,147,2008,26020,2026,896,0.965564950038432,"147 GTA 937, 155 167, 156 932, 4C 960, 8C 8C, BRERA 939, GT 937, GTV 916, SPIDER 916"
OPEL,CORSA GSI,1995,2853,2026,110,0.9614440939362074,"ASTRA OPC G, ASTRA OPC H, CALIBRA A, CORSA VXR D, LOTUS CARLTON A, MONARO V2, VX220 VX220"
CITROEN,XSARA,2008,321825,2026,15338,0.9523405577565447,"C2 VTS A6, DS3 RACING A55, SAXO VTS S0, XSARA VTS N0"
HONDA,INTEGRA,1994,10449,2026,506,0.9515743133314193,"ACCORD TYPE R CH1, CIVIC TYPE R EK9, CIVIC TYPE R EP3, CIVIC TYPE R FN2, CRX DEL SOL EG, CRX ED9_EE8, INTEGRA TYPE R DC2, INTEGRA TYPE R DC5, NSX NA1_NA2, PRELUDE BB, S2000 AP1_AP2"
CITROEN,C8,2009,10531,2026,537,0.9490076915772481,"C2 VTS A6, DS3 RACING A55, SAXO VTS S0, XSARA VTS N0"
AUDI,CABRIOLET,2000,5458,2026,512,0.9061927445950898,"R8 42, RS2 B4, RS4 B5, RS4 B7, RS6 C5, RS6 C6, S2 B3_B4, S3 8L, S4 B5, S8 D2, TT 8J, TT 8N"
CITROEN,C2,2009,52369,2026,5601,0.8930474135461819,"C2 VTS A6, DS3 RACING A55, SAXO VTS S0, XSARA VTS N0"
JAGUAR,S-TYPE,2007,55493,2026,6465,0.8834988196709495,"F-TYPE X152, S-TYPE R X200, XJ X300_X308, XJS XJS, XK X100, XK X150"
HONDA,ACCORD,2005,160208,2026,19094,0.8808174373314691,"ACCORD TYPE R CH1, CIVIC TYPE R EK9, CIVIC TYPE R EP3, CIVIC TYPE R FN2, CRX DEL SOL EG, CRX ED9_EE8, INTEGRA TYPE R DC2, INTEGRA TYPE R DC5, NSX NA1_NA2, PRELUDE BB, S2000 AP1_AP2"
VOLKSWAGEN,LUPO,2005,27197,2026,3776,0.8611611574806045,"CORRADO 53I, GOLF GTI MK2, GOLF GTI MK3, GOLF GTI MK4, GOLF GTI MK5, GOLF GTI MK6, GOLF GTI MK7, GOLF R MK4, GOLF R MK5, GOLF R MK6, LUPO GTI 6X, PHAETON 3D, POLO GTI 6N, POLO GTI 6R, POLO GTI 9N, SCIROCCO MK3"
SUBARU,IMPREZA,2007,18126,2026,3107,0.828588767516275,"BRZ ZC6, IMPREZA WRX GC8, IMPREZA WRX GD, IMPREZA WRX GR"
MITSUBISHI,LANCER,2011,16533,2026,4509,0.7272727272727273,"3000GT Z16A, ECLIPSE 1G_2G, FTO DE, LANCER EVOLUTION VII_IX, LANCER EVOLUTION V_VI, LANCER EVOLUTION X"
AUDI,A2,2006,18305,2026,5061,0.7235181644359465,"R8 42, RS2 B4, RS4 B5, RS4 B7, RS6 C5, RS6 C6, S2 B3_B4, S3 8L, S4 B5, S8 D2, TT 8J, TT 8N"
AUDI,ALLROAD,2009,2553,2026,747,0.7074030552291422,"R8 42, RS2 B4, RS4 B5, RS4 B7, RS6 C5, RS6 C6, S2 B3_B4, S3 8L, S4 B5, S8 D2, TT 8J, TT 8N"
