make,model_gen,country,series,year,stock,target_generations
AUDI,R8,DE,FZ2,2019,4182,1
AUDI,R8,DE,FZ2,2020,4603,1
AUDI,R8,DE,FZ2,2021,4881,1
AUDI,R8,DE,FZ2,2022,5038,1
AUDI,R8,DE,FZ2,2023,4951,1
AUDI,R8,DE,FZ2,2024,4906,1
AUDI,R8,DE,FZ2,2025,5145,1
AUDI,R8,DE,FZ2,2026,4958,1
AUDI,RS4,DE,FZ2,2019,4409,2
AUDI,RS4,DE,FZ2,2020,5249,2
AUDI,RS4,DE,FZ2,2021,5619,2
AUDI,RS4,DE,FZ2,2022,5883,2
AUDI,RS4,DE,FZ2,2023,6033,2
AUDI,RS4,DE,FZ2,2024,6882,2
AUDI,RS4,DE,FZ2,2025,7932,2
AUDI,RS4,DE,FZ2,2026,7528,2
AUDI,RS6,DE,FZ2,2019,5981,2
AUDI,RS6,DE,FZ2,2020,5757,2
AUDI,RS6,DE,FZ2,2021,6682,2
AUDI,RS6,DE,FZ2,2022,7159,2
AUDI,RS6,DE,FZ2,2023,7723,2
AUDI,RS6,DE,FZ2,2024,8644,2
AUDI,RS6,DE,FZ2,2025,10073,2
AUDI,RS6,DE,FZ2,2026,11532,2
AUDI,S3,DE,FZ2,2019,15746,1
AUDI,S3,DE,FZ2,2020,16405,1
AUDI,S3,DE,FZ2,2021,16913,1
AUDI,S3,DE,FZ2,2022,17396,1
AUDI,S3,DE,FZ2,2023,18142,1
AUDI,S3,DE,FZ2,2024,19737,1
AUDI,S3,DE,FZ2,2025,22295,1
AUDI,S3,DE,FZ2,2026,24107,1
AUDI,S4,DE,FZ2,2019,6834,1
AUDI,S4,DE,FZ2,2020,7314,1
AUDI,S4,DE,FZ2,2021,7874,1
AUDI,S4,DE,FZ2,2022,7891,1
AUDI,S4,DE,FZ2,2023,8179,1
AUDI,S4,DE,FZ2,2024,8440,1
AUDI,S4,DE,FZ2,2025,8904,1
AUDI,S4,DE,FZ2,2026,8493,1
AUDI,S8,DE,FZ2,2019,2174,1
AUDI,S8,DE,FZ2,2020,1545,1
AUDI,S8,DE,FZ2,2021,1967,1
AUDI,S8,DE,FZ2,2022,1979,1
