BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,LicenceStatus,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Other vehicles,NAK MG,NAK MG MODEL MISSING,MODEL MISSING,2010,2010,Licensed,0,0,0,0,0,0,0,0,0,0,0,1
Other vehicles,NAK MG,NAK MG MODEL MISSING,MODEL MISSING,2010,2010,SORN,0,0,0,0,0,0,0,0,0,1,1,0
Motorcycles,NAXEON,NAXEON NX6500S-N0,NX6500S-N0,2024,2024,Licensed,1,1,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z]
Motorcycles,NAXEON,NAXEON NX7500S-N0,NX7500S-N0,2024,2024,Licensed,3,3,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z]
Motorcycles,NAXEON,NAXEON NX7500S-N0,NX7500S-N0,2025,2025,Licensed,10,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z]
Motorcycles,NECHT,NECHT GY 125,GY 125,2007,2007,Licensed,0,0,0,0,0,0,0,1,0,0,0,0
Motorcycles,NECHT,NECHT GY 125,GY 125,2006,2006,Licensed,0,0,0,0,0,0,0,1,0,2,3,8
Motorcycles,NECHT,NECHT GY 125,GY 125,2005,2005,Licensed,0,0,0,0,0,1,1,1,1,1,2,2
Motorcycles,NECHT,NECHT GY 125,GY 125,[x],2005,SORN,0,0,1,1,1,1,1,1,0,0,0,0
Motorcycles,NECHT,NECHT GY 125,GY 125,[x],2005,Licensed,0,0,0,0,0,0,0,0,0,1,1,1
Motorcycles,NECHT,NECHT GY 125,GY 125,2007,2007,SORN,0,0,0,0,0,0,0,0,1,0,0,0
Motorcycles,NECHT,NECHT GY 125,GY 125,2006,2006,SORN,16,18,19,19,19,19,19,19,20,17,15,12
Motorcycles,NECHT,NECHT GY 125,GY 125,2005,2005,SORN,2,3,3,3,3,2,2,2,2,2,1,2
Heavy goods vehicles,NECHT,NECHT MODEL MISSING,MODEL MISSING,2008,2008,Licensed,0,2,2,2,2,3,3,3,3,3,3,3
Other vehicles,NECHT,NECHT MODEL MISSING,MODEL MISSING,2005,2005,SORN,1,1,1,1,1,1,1,1,1,1,0,0
Motorcycles,NECHT,NECHT MODEL MISSING,MODEL MISSING,2005,2005,SORN,1,1,1,1,1,1,1,1,1,1,2,1
Other vehicles,NECHT,NECHT MODEL MISSING,MODEL MISSING,2005,2005,Licensed,0,0,0,0,0,0,0,0,0,0,1,0
Other vehicles,NECHT,NECHT MODEL MISSING,MODEL MISSING,2006,2006,SORN,1,1,1,1,1,1,1,1,1,1,1,1
Other vehicles,NECHT,NECHT MODEL MISSING,MODEL MISSING,[x],[x],SORN,1,1,1,1,1,1,1,1,1,0,0,0
Other vehicles,NECHT,NECHT MODEL MISSING,MODEL MISSING,[x],[x],Licensed,1,0,0,0,0,0,1,0,0,0,0,0
Motorcycles,NECHT,NECHT MODEL MISSING,MODEL MISSING,2006,2006,Licensed,0,0,0,0,0,0,0,0,0,1,1,1
Heavy goods vehicles,NECHT,NECHT MODEL MISSING,MODEL MISSING,2008,2008,SORN,2,0,0,0,0,0,0,0,0,0,0,0
Motorcycles,NECHT,NECHT MODEL MISSING,MODEL MISSING,2006,2006,SORN,2,2,2,2,2,3,3,3,3,2,2,2
Other vehicles,NECHT,NECHT MODEL MISSING,MODEL MISSING,2007,2007,SORN,1,1,1,1,1,1,1,1,1,1,1,0
Other vehicles,NECHT,NECHT MODEL MISSING,MODEL MISSING,2007,2007,Licensed,0,0,0,0,0,0,0,0,0,0,0,1
Motorcycles,NECO,NECO ABRUZZI,ABRUZZI 125,2017,2017,Licensed,5,9,11,11,16,24,27,29,36,[z],[z],[z]
Motorcycles,NECO,NECO ABRUZZI,ABRUZZI 125,2012,2012,Licensed,4,4,8,11,13,12,13,24,26,26,31,41
Motorcycles,NECO,NECO ABRUZZI,ABRUZZI 125,2015,2015,SORN,14,16,14,18,17,13,13,9,7,2,0,[z]
Motorcycles,NECO,NECO ABRUZZI,ABRUZZI 125,2013,2013,Licensed,2,2,5,6,9,10,9,10,11,16,20,27
Motorcycles,NECO,NECO ABRUZZI,ABRUZZI 125,2016,2016,Licensed,5,5,11,12,17,16,20,25,29,31,[z],[z]
Motorcycles,NECO,NECO ABRUZZI,ABRUZZI 125,2013,2013,SORN,24,24,23,22,18,18,20,20,18,14,10,2
