make,model_gen,generation,country,horizon,year,stock_now,stock_projected,low,high,k_median,lambda_median,cohorts_fitted,cohorts_total
ABARTH,500,312,GB,5,2030,3739,3129,2908,3291,1.5000000000000002,30.285544030294176,5,17
ABARTH,500,312,GB,10,2035,3739,2549,2184,2841,1.5000000000000002,30.285544030294176,5,17
ALFA ROMEO,156,932,GB,5,2030,229,62,34,95,0.8500000000000001,3.244178166779411,3,12
ALFA ROMEO,156,932,GB,10,2035,229,19,6,41,0.8500000000000001,3.244178166779411,3,12
ALFA ROMEO,BRERA,939,GB,5,2030,1267,624,477,755,2.5,19.845772921707837,5,7
ALFA ROMEO,BRERA,939,GB,10,2035,1267,246,143,385,2.5,19.845772921707837,5,7
ALFA ROMEO,GT,937,GB,5,2030,948,134,54,270,3.25,14.435982569474849,7,20
ALFA ROMEO,GT,937,GB,10,2035,948,13,2,63,3.25,14.435982569474849,7,20
ALFA ROMEO,SPIDER,916,GB,5,2030,458,274,222,317,1.35,17.683590745884885,6,11
ALFA ROMEO,SPIDER,916,GB,10,2035,458,163,109,218,1.35,17.683590745884885,6,11
ASTON MARTIN,DB7,DB7,GB,5,2030,602,434,359,493,1.25,24.06758087898286,5,13
ASTON MARTIN,DB7,DB7,GB,10,2035,602,324,241,397,1.25,24.06758087898286,5,13
ASTON MARTIN,DB9,DB9,GB,5,2030,2468,1898,1623,2084,1.55,24.473262103019117,8,15
ASTON MARTIN,DB9,DB9,GB,10,2035,2468,1417,1033,1725,1.55,24.473262103019117,8,15
ASTON MARTIN,V8 VANTAGE,VH,GB,5,2030,2802,2157,1590,2460,1.6500000000000001,23.19093942738424,8,13
ASTON MARTIN,V8 VANTAGE,VH,GB,10,2035,2802,1611,975,2133,1.6500000000000001,23.19093942738424,8,13
AUDI,CABRIOLET,B4,GB,5,2030,274,143,124,160,1.3,12.873259723613927,4,14
AUDI,CABRIOLET,B4,GB,10,2035,274,73,55,92,1.3,12.873259723613927,4,14
AUDI,R8,42,GB,5,2030,1524,1127,777,1319,1.25,24.715402173682417,7,9
AUDI,R8,42,GB,10,2035,1524,825,528,1127,1.25,24.715402173682417,7,9
AUDI,RS4,B7,GB,5,2030,1489,996,930,1055,2.0,21.29074304204995,3,3
AUDI,RS4,B7,GB,10,2035,1489,624,546,705,2.0,21.29074304204995,3,3
AUDI,S3,8L,GB,5,2030,873,428,340,508,1.05,8.524895592602286,5,7
AUDI,S3,8L,GB,10,2035,873,198,128,283,1.05,8.524895592602286,5,7
AUDI,TT,8J,GB,5,2030,33817,27248,21013,30598,2.5,35.036190876434105,6,8
AUDI,TT,8J,GB,10,2035,33817,20288,11624,26493,2.5,35.036190876434105,6,8
AUDI,TT,8N,GB,5,2030,16396,6274,5045,7522,3.05,21.390534299540143,8,10
AUDI,TT,8N,GB,10,2035,16396,1613,1000,2446,3.05,21.390534299540143,8,10
BMW,135I,E82,GB,5,2030,779,560,443,633,1.9000000000000001,24.966438106034015,6,8
BMW,135I,E82,GB,10,2035,779,373,237,493,1.9000000000000001,24.966438106034015,6,8
