rank,make,model_gen,generation,segment,score,weight_coverage,stock,rarity_tier,rarity,conservation,sorn_ratio,recent_inflection_point,relative_attrition,inflection_year,latest_year,components_available
1,PEUGEOT,306 S16,MK1,GTI,0.8824059479513939,1.0,22,<100,0.7136329695692669,0.9838709677419355,0.9333333333333333,1.0,-0.11421032201818601,2024,2026,rarity|conservation|sorn_ratio|recent_inflection_point
2,NISSAN,SUNNY GTI-R,N14,GTI,0.8474391284531126,1.0,36,<100,0.6680078994764259,1.0,0.8181818181818182,1.0,-0.18831978185974171,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
3,OPEL,CORSA GSI,B,GTI,0.8351682641780638,1.0,102,<500,0.5715232804634793,0.9798387096774194,0.9508771929824561,1.0,-0.11230340635928697,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
4,LANCIA,THEMA 8.32,Y9,PREMIUM,0.820848865052318,1.0,70,<100,0.6064017286650507,0.9556451612903225,0.8484848484848485,1.0,-0.08309635194665425,2021,2026,rarity|conservation|sorn_ratio|recent_inflection_point
5,PEUGEOT,106 RALLYE,S2,GTI,0.8141512678068883,1.0,86,<100,0.5873307380979488,0.9435483870967741,0.8634920634920635,1.0,-0.07224163275119456,2021,2026,rarity|conservation|sorn_ratio|recent_inflection_point
6,PEUGEOT,309 GTI,MK1,GTI,0.8073692506322137,1.0,148,<500,0.5370374684711733,0.9959677419354839,0.8520710059171598,1.0,-0.16401534664742928,2021,2026,rarity|conservation|sorn_ratio|recent_inflection_point
7,OPEL,LOTUS CARLTON,A,SPORTIVE,0.8065835047369299,1.0,65,<100,0.6132673994661256,0.9919354838709677,0.7197802197802198,1.0,-0.11960723409832856,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
8,AUDI,RS2,B4,SPORTIVE,0.7931255072807863,1.0,34,<100,0.6733032926916479,0.8346774193548386,0.744,1.0,-0.04256205375123655,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
9,AUDI,S2,B3_B4,COUPE,0.7919641142535687,1.0,73,<100,0.6025139907055357,0.875,0.8116710875331565,1.0,-0.04806723051834356,2024,2026,rarity|conservation|sorn_ratio|recent_inflection_point
10,TOYOTA,CELICA GT-FOUR,ST185_ST205,SPORTIVE,0.7752114220471906,1.0,22,<100,0.7136329695692669,0.6290322580645161,0.8409090909090909,1.0,-0.018368192503766485,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
11,HONDA,CIVIC TYPE R,EK9,GTI,0.7682310157847714,1.0,38,<100,0.6629988871990343,0.7056451612903225,0.7988505747126436,1.0,-0.026705473080025965,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
12,ALFA ROMEO,155,167,PREMIUM,0.7562538017051472,1.0,423,<500,0.43974628658321885,0.8951612903225806,0.8927613941018767,1.0,-0.05578390418035718,2023,2026,rarity|conservation|sorn_ratio|recent_inflection_point
13,FORD,ESCORT XR3I,MK3_MK4,GTI,0.7561836130533963,1.0,512,>=500,0.4220556576974345,0.9475806451612903,0.8578448578448579,1.0,-0.07273132104041528,2024,2026,rarity|conservation|sorn_ratio|recent_inflection_point
14,AUDI,S8,D2,PREMIUM,0.752141634712499,1.0,142,<500,0.5408715670431338,0.9112903225806451,0.6750700280112045,1.0,-0.05714819868678242,2021,2026,rarity|conservation|sorn_ratio|recent_inflection_point
15,RENAULT,19 16V,MK1,GTI,0.745440762970871,1.0,116,<500,0.5596076315830558,0.6693548387096774,0.9111969111969112,1.0,-0.022270474099751053,2024,2026,rarity|conservation|sorn_ratio|recent_inflection_point
16,RENAULT,CLIO V6,MK2,SPORTIVE,0.7425084174110015,1.0,152,<500,0.5345668111317976,0.8024193548387096,0.7740259740259741,1.0,-0.037883469831772314,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
17,FORD,ESCORT RS COSWORTH,MK5,SPORTIVE,0.740451518356412,1.0,306,<500,0.4697432682353106,0.8467741935483871,0.8217391304347826,1.0,-0.04421109104106061,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
18,FORD,FOCUS RS,MK1,GTI,0.7365668587207865,1.0,378,<500,0.4501667148331587,0.8870967741935484,0.7861715749039693,1.0,-0.05069515855804628,2022,2026,rarity|conservation|sorn_ratio|recent_inflection_point
19,MITSUBISHI,3000GT,Z16A,COUPE,0.7352083850562052,1.0,203,<500,0.5077624972015756,0.7983870967741935,0.7894736842105263,1.0,-0.03726865737472976,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
20,MAZDA,RX-7,FD,SPORTIVE,0.7311422504396743,1.0,408,<500,0.4430912043962425,0.8911290322580645,0.7663903541823662,1.0,-0.054759379619623495,2023,2026,rarity|conservation|sorn_ratio|recent_inflection_point
21,FORD,ESCORT XR3I,MK5,GTI,0.7278380214589721,1.0,112,<500,0.5628586374168096,0.6088709677419355,0.8930987821380244,1.0,-0.01611068944153867,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
22,TVR,SAGARIS,SAGARIS,SPORTIVE,0.721720353565934,1.0,79,<100,0.5951961757194678,0.8266129032258064,0.5337423312883436,1.0,-0.040662224837487985,2021,2026,rarity|conservation|sorn_ratio|recent_inflection_point
23,NISSAN,200SX,S13,COUPE,0.7134008078248011,1.0,367,<500,0.45290271435482615,0.7379032258064516,0.8520452567449956,1.0,-0.03111045914276296,2023,2026,rarity|conservation|sorn_ratio|recent_inflection_point
24,RENAULT,AVANTIME,MK1,COUPE,0.7129899436334837,1.0,318,<500,0.4661795919744418,0.9153225806451613,0.604982206405694,1.0,-0.0585949695286917,2021,2026,rarity|conservation|sorn_ratio|recent_inflection_point
25,SAAB,9-3 VIGGEN,MK1,SPORTIVE,0.7066649108191168,1.0,91,<100,0.5820952118700227,0.7217741935483871,0.6124401913875598,1.0,-0.030792086117507833,2022,2026,rarity|conservation|sorn_ratio|recent_inflection_point
26,NISSAN,SKYLINE GT-R,R32,SPORTIVE,0.7018622466809326,1.0,162,<500,0.528663913053707,0.6411290322580645,0.7827380952380952,1.0,-0.01985939905782351,2022,2026,rarity|conservation|sorn_ratio|recent_inflection_point
27,OPEL,ASTRA OPC,G,GTI,0.7017517673603901,1.0,213,<500,0.5033075928485835,0.689516129032258,0.7660753880266076,1.0,-0.025846532060341446,2023,2026,rarity|conservation|sorn_ratio|recent_inflection_point
28,MITSUBISHI,FTO,DE,COUPE,0.6999477425212255,1.0,61,<100,0.619151545563661,0.4798387096774193,0.8164251207729468,1.0,-0.00562579410048937,2022,2026,rarity|conservation|sorn_ratio|recent_inflection_point
29,PEUGEOT,106 GTI,S2,GTI,0.6856529591886791,1.0,147,<500,0.5376655668743976,0.47177419354838707,0.8976323119777159,1.0,-0.0053633228151629825,2021,2025,rarity|conservation|sorn_ratio|recent_inflection_point
30,MERCEDES-BENZ,C43 AMG,W202,SPORTIVE,0.6715877622651951,1.0,227,<500,0.4974100646681681,0.657258064516129,0.6658986175115207,1.0,-0.020478834112945155,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
31,NISSAN,SKYLINE GT-R,R33,SPORTIVE,0.6713714958276138,1.0,206,<500,0.5064033898009747,0.564516129032258,0.7650063856960408,1.0,-0.01298097569401662,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
32,FERRARI,575M,575M,SUPERCAR,0.6657104867154395,1.0,140,<500,0.5421856906314324,0.6451612903225806,0.5732758620689655,1.0,-0.01990783319450468,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
33,TOYOTA,SUPRA,A70,SPORTIVE,0.6638312709470708,1.0,399,<500,0.44515770255576714,0.5685483870967741,0.829444891391794,1.0,-0.01365670361009815,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
34,PEUGEOT,106 RALLYE,S1,GTI,0.658944161248745,1.0,266,<500,0.48272167675031746,0.4435483870967742,0.8955223880597015,1.0,-0.00385437006995918,2022,2026,rarity|conservation|sorn_ratio|recent_inflection_point
